id,name,vendor,category,prerequisite,goldCost,energyCost,materials,effect,description
reach_6,Reach Level 6,carpenter,tower,"reach_5;homestead",50000,20000,"crystal:3",wind_cloud,Access Cloud Layer
reach_7,Reach Level 7,carpenter,tower,"reach_6;manor_grounds",200000,100000,"mythril:2",wind_strato,Access Stratosphere
reach_8,Reach Level 8,carpenter,tower,"reach_7;great_estate",1000000,400000,"mythril:3",wind_meso,Access Mesosphere
reach_9,Reach Level 9,carpenter,tower,"reach_8;great_estate",5000000,1500000,"obsidian:1",wind_thermo,Access Thermosphere
reach_10,Reach Level 10,carpenter,tower,"reach_9;great_estate",15000000,5000000,"obsidian:2",wind_exo,Access Exosphere
reach_11,Reach Level 11,carpenter,tower,"reach_10;great_estate",50000000,15000000,"obsidian:3",wind_orbit,Access Low Orbit
net_1,Net I,carpenter,tower,tower_built,75,60,"copper:5",catch_rate_20,+20% catch rate
net_2,Net II,carpenter,tower,net_1,400,300,"iron:8",catch_rate_40,+40% catch rate
golden_net,Golden Net,carpenter,tower,"net_2;reach_4",2500,1500,"silver:3",catch_rate_60,+60% catch rate
crystal_net,Crystal Net,carpenter,tower,"golden_net;reach_5",15000,8000,"crystal:2",catch_rate_80,+80% catch rate
auto_catcher_1,Auto-Catcher I,carpenter,tower,tower_built,1000,500,"iron:10",auto_seeds_10min,1 seed/10 min
auto_catcher_2,Auto-Catcher II,carpenter,tower,auto_catcher_1,5000,2500,"silver:5",auto_seeds_5min,1 seed/5 min
auto_catcher_3,Auto-Catcher III,carpenter,tower,"auto_catcher_2;reach_5",30000,15000,"crystal:3",auto_seeds_2min,1 seed/2 min
# Carpenter - Gnome Housing
gnome_hut,Gnome Hut,carpenter,housing,gnome_rescued,500,250,"wood:20;stone:10",gnome_cap_1,House 1 gnome
gnome_house,Gnome House,carpenter,housing,"gnome_hut;homestead",2000,1000,"wood:50;iron:20",gnome_cap_2,House 2 gnomes
gnome_lodge,Gnome Lodge,carpenter,housing,"gnome_house;manor_grounds",10000,5000,"wood:100;silver:10",gnome_cap_3,House 3 gnomes
gnome_hall,Gnome Hall,carpenter,housing,"gnome_lodge;great_estate",50000,25000,"wood:200;crystal:5",gnome_cap_4,House 4 gnomes
gnome_village,Gnome Village,carpenter,housing,gnome_hall,250000,100000,"wood:500;mythril:2",gnome_cap_5,House 5 gnomes
training_grounds,Training Grounds,carpenter,housing,"gnome_lodge;manor_grounds",25000,10000,"wood:200;silver:10;cave_crystal:2",training_speed_25,Train 25% faster
master_academy,Master Academy,carpenter,housing,"training_grounds;great_estate",100000,50000,"wood:500;crystal:5;frozen_heart:1",dual_role_gnomes,Gnomes can dual-role
# Skills Trainer - Carry Capacity
carry_2,Carry Capacity 2,skills_trainer,hero,,25,10,,carry_2,Carry 2 crops
carry_3,Carry Capacity 3,skills_trainer,hero,carry_2,50,15,,carry_3,Carry 3 crops
carry_4,Carry Capacity 4,skills_trainer,hero,carry_3,100,20,,carry_4,Carry 4 crops
carry_5,Carry Capacity 5,skills_trainer,hero,"carry_4;homestead",200,30,,carry_5,Carry 5 crops
carry_6,Carry Capacity 6,skills_trainer,hero,carry_5,400,40,,carry_6,Carry 6 crops
carry_7,Carry Capacity 7,skills_trainer,hero,"carry_6;manor_grounds",800,60,,carry_7,Carry 7 crops
carry_8,Carry Capacity 8,skills_trainer,hero,carry_7,1500,80,,carry_8,Carry 8 crops
carry_9,Carry Capacity 9,skills_trainer,hero,"carry_8;great_estate",3000,100,,carry_9,Carry 9 crops
carry_10,Carry Capacity 10,skills_trainer,hero,carry_9,6000,125,,carry_10,Carry 10 crops
